gsa_building_no,address,city,state,zipcode,latitude,longitude,costar_number,bldg_rsf,total_leased_rsf,percent_govt_leased,total_annual_rent,rent_prsf,remaining_total_term,remaining_firm_term
MS2135,3577 BLUECUTT RD. BLDG.,COLUMBUS,MS,39705-1302,33.538139,-88.43659,1489719,10377,10377,100,243647.14,23.48,0,0
AK3416,420 L ST,ANCHORAGE,AK,99501-5901,61.218341,-149.903709,5878556,60732,6343,10.44,243392.88,38.37,8.75,6.25
TX2424,2717 TERRELL ROAD,GREENVILLE,TX,75402-7302,33.1063,-96.108637,GSA,9463,9463,100,243387.99,25.72,0.08,0.08
MI3046,1050 WILSHIRE DR,TROY,MI,48084-1500,42.5643295,-83.168814,GSA,189682,7151,3.77,243353.17,34.03,4.43,4.43
MD0475,15 GOVERNOR'S COURT,WOODLAWN,MD,21244-2713,39.331421,-76.746837,138509,14890,14375,96.54,243347.26,16.93,0.91,0
CO2054,10900 WEST 120TH AVENUE,BROOMFIELD,CO,80021-2756,39.914083,-105.119963,740874,25506,9668,37.9,243177.44,25.15,8.25,3.25
OH2005,3355 RICHMOND ROAD,BEACHWOOD,OH,44122-4100,41.467384,-81.497781,486859,103300,7301,7.07,243058.45,33.29,0.33,0.08
CA6747,2436 PROFESSIONAL PKY,SANTA MARIA,CA,93455-1683,34.91566,-120.438417,5623260,8510,8510,100,242813.03,28.53,14.23,9.23
MO1776,1150 GRAND,KANSAS CITY,MO,64106-2311,39.100471,-94.580893,75875,71935,11888,16.53,242810.27,20.42,6.88,1.88
AZ8169,2270 SOUTH RIDGEVIEW DRIVE,YUMA,AZ,85364-8875,32.686947,-114.638498,,68969,6759,9.8,242809.92,35.92,9.08,4.08
MA5490,198 COLUMBIA ROAD,HANOVER,MA,02339-2322,42.109154,-70.811328,7082626,12558,9097,72.44,242683.02,26.68,6.21,3.21
CA6298,1 N 1ST ST,SAN JOSE,CA,95113-1227,37.3361443,-121.8905979,306204,86420,11013,12.74,242604.19,22.03,0.08,0
NJ5090,200 AMERICAN METRO BLVD.,HAMILTON SQUARE,NJ,08619-2320,40.254808,-74.705628,GSA,451318,9929,2.2,242295.69,24.4,4.07,0
AL2480,150 N ROYAL STREET,MOBILE,AL,36602-3922,30.694763,-88.041879,GSA,24400,12639,51.8,242141.77,19.16,0,0
TX2052,5214 68TH STREET,LUBBOCK,TX,79424-1598,33.532982,-101.922982,5016330,47557,14328,30.13,242086.22,16.9,4.16,0.23
PA0843,102 WOODY DRIVE,BUTLER,PA,16001-5611,40.861086,-79.889963,8041947,6677,6677,100,242062.08,36.25,7.11,7.11
TX2509,2015 EAST 37TH STREET,ODESSA,TX,79762-6212,31.886989,-102.350687,GSA,11000,11000,100,241931.54,21.99,0.67,0
CA6716,2425 LA BREUCHERIE RD.,IMPERIAL,CA,92251-9501,32.82903107,-115.5790501,1394819,12075,12075,100,241889.93,20.03,2.13,0
IL2401,606 W. PERSHING ROAD,DECATUR,IL,62526-1633,39.876509,-88.965395,GSA,16651,10507,63.1,241641.32,23,8.59,0
MI2203,2938 HANSEN,WEST BRANCH,MI,48661-9317,44.266098,-84.243764,6907754,6000,6000,100,241627.88,40.27,6.3,6.3
CO1950,2828 WALKER FIELD DR,GRAND JUNCTION,CO,81506-8660,39.122209,-108.529505,GSA,8434,8434,100,241465.42,28.63,4.46,0
MO1928,601 BRASILIA AVE,KANSAS CITY,MO,64153-2054,39.306638,-94.71625,1488031,50000,5831,11.66,241446.49,41.41,6.08,1.08
MS2138,236 SHARKEY AVE,CLARKSDALE,MS,38614-4498,34.202065,-90.570908,8182376,39811,16314,40.98,241413.11,14.8,1,0
NJ5075,4002 LINCOLN DR W,MARLTON,NJ,08053-1555,39.909827,-74.942475,,12248,12248,100,241318.35,19.7,2.82,0
OH2219,632 VINE STREET,CINCINNATI,OH,45202-2425,39.103137,-84.513461,482069,162500,10230,6.3,241131.87,23.57,0.42,0
ME4226,27 PEARL STREET,PORTLAND,ME,04101-4117,43.65770671,-70.25156684,5573739,46767,9723,20.79,240746.87,24.76,0.84,0
GA2371,"1500 BLOCK, FLYNT STREET",GRIFFIN,GA,30223-9998,33.2500633,-84.2910009,GSA,8369,8369,100,240673.61,28.76,6.46,6.46
NY7069,4455 GENESEE ST,BUFFALO,NY,14225-1928,42.933424,-78.721665,1426267,70000,18978,27.11,240451.26,12.67,0,0
CO1829,12136 W. BAYAUD AVE,LAKEWOOD,CO,80228-2115,39.713601,-105.136195,394079,48300,13111,27.14,240405.46,18.34,3.18,0
MA5917,30 RIVERSIDE DR,LAKEVILLE,MA,02347-3629,41.877902,-70.9206,619230,30000,8025,26.75,240286.01,29.94,7.29,7.29
KY2050,5 SPIRAL DR,FLORENCE,KY,41042-4889,39.017664,-84.639689,482844,26000,15545,59.79,240249.45,15.46,3.25,0
PA0523,1760 MARKLEY ST.,NORRISTOWN,PA,19401-2902,40.131765,-75.334057,GSA,359179,10057,2.8,240140.33,23.88,0.21,0
NE1397,401 W 3RD ST,GRAND ISLAND,NE,68801-5942,40.924253,-98.343822,7950801,20542,8082,39.34,240101.88,29.71,0.58,0.58
RI7136,2000 POST ROAD,WARWICK,RI,02886-1533,41.72726,-71.438535,1076278,185192,3372,1.82,240047.37,71.19,0.67,0.67
CA7621,1451 RESEARCH DRIVE,RIVERSIDE,CA,92507-2153,33.9989373,-117.3259003,751482,12397,9895,79.82,239999.23,24.25,8.16,3.15
IL2385,3090 NORMANDY RD,SPRINGFIELD,IL,62703-5828,39.757685,-89.619741,GSA,12679,12679,100,239881.1,18.92,14.67,9.67
CO2080,799 TECH CENTER DRIVE,DURANGO,CO,81301-7748,37.274615,-107.894204,7784097,8000,7195,89.94,239777.8,33.33,9.19,4.19
MI2079,9324 CONANT STREET,HAMTRAMCK,MI,48212-3506,42.396897,-83.048923,GSA,16800,7224,43,239661.98,33.18,0.02,0.02
KY2083,HIGHWAY 25 EAST,BARBOURVILLE,KY,40906-1319,36.8648182,-83.949309,GSA,19916,19916,100,239608.02,12.03,1.95,0
LA1658,5100 VILLAGE WALK,COVINGTON,LA,70433-4012,30.479609,-90.090254,6335635,43402,10195,23.49,239330.8,23.48,8.67,6.08
PA0850,4050 CRUMS MILL ROAD,HARRISBURG,PA,17112-2827,40.305168,-76.828561,934052,75000,9717,12.96,239240.28,24.62,8.12,3.12
NJ6998,5218 ATLANTIC AVENUE,MAYS LANDING,NJ,08330-2003,39.444908,-74.700868,513936,80773,14302,17.71,238819.08,16.7,4.15,0
ME4168,220 MAINE MALL ROAD,SOUTH PORTLAND,ME,04106-2313,43.638402,-70.334734,1168231,109000,10852,9.96,238792.37,22,0.47,0
SC2069,105 N SPRING ST,GREENVILLE,SC,29601-2863,34.851089,-82.396943,39467,30000,13752,45.84,238583.23,17.35,0,0
MI1974,6545 MERCANTILE WAY,LANSING,MI,48911-5990,42.66381,-84.536029,1127550,127051,20976,16.51,238509.48,11.37,1.42,0
AZ6285,3200 N. CENTRAL AVENUE,PHOENIX,AZ,85012-2435,33.486247,-112.073634,224566,344187,9620,2.79,238268.59,24.77,13.17,3.17
LA1414,120 MALLARD STREET,ST ROSE,LA,70087-4015,29.981947,-90.282499,6019807,53520,10084,18.84,238105.84,23.61,6.64,1.63
MA5789,80 EVERETT AVENUE,CHELSEA,MA,02150-2339,42.393477,-71.039102,223329,54000,8878,16.44,238075.93,26.82,1.42,0
PA0794,112 WASHINGTON PLACE,PITTSBURGH,PA,15219-3458,40.439373,-79.990966,68584,401341,9882,2.46,237931.79,24.08,3.5,0
HI7494,74-5640 PALANI ROAD,KAILUA KONA,HI,96740-9653,19.6478587,-155.9926269,GSA,243000,4860,2,237795.74,48.93,0.67,0
MA5918,10 FEDERAL STREET,SALEM,MA,01970-3860,42.523268,-70.894101,6053229,162000,8857,5.47,237775.04,26.85,5.25,2.25
MA6001,135 BEAVER ST,WALTHAM,MA,02452-8412,42.383059,-71.208197,GSA,95944,6505,6.78,237324.59,36.48,9.67,6.67
GA2347,1723 MCCOLLUM PKWY,KENNESAW,GA,30144-7812,34.014857,-84.606792,GSA,10500,10500,100,237102.19,22.58,3.85,0
WI1689,222 NORTH ACADEMY STREET,JANESVILLE,WI,53548-3611,42.6825,-89.030565,5347469,9198,9198,100,237077.98,25.77,10.43,0.42
MT5570,618 PARK DRIVE SOUTH,GREAT FALLS,MT,59405-1808,47.49809,-111.304904,GSA,6045,6045,100,236802.77,39.17,4.42,0
CA8304,"15835 MONTE STREET,",SAN FERNANDO,CA,91342-7673,34.310946,-118.475388,6048950,17040,9977,58.55,236790.99,23.73,9.08,9.08
ME4212,100 MIDDLE ST,PORTLAND,ME,04101-4100,43.659175,-70.25191,6296106,205749,9412,4.57,236706.82,25.15,5.35,3.85
CA6572,2530 PLAZA BOULEVARD,NATIONAL CITY,CA,91950-4038,32.679988,-117.07971,GSA,16559,8412,50.8,236555.58,28.12,0.67,0
AR1215,2608 FAIR PARK BLVD,JONESBORO,AR,72401-5427,35.813101,-90.673579,8118531,12084,12084,100,236383.58,19.56,1.25,0
GA2223,2801 CANDLER RD STE 8,DECATUR,GA,30034-1425,33.71022,-84.271779,438945,526909,10901,2.07,236305.95,21.68,1.1,0
ND1321,1 NORTH SECOND STREET,FARGO,ND,58102-4807,46.874484,-96.781102,GSA,33771,12225,36.2,236188.15,19.32,11.92,11.92
AL2166,2 NORTH 20TH STREET,BIRMINGHAM,AL,35203-4007,33.513115,-86.804924,GSA,206273,13614,6.6,236166.8,17.35,4.1,0
WA7510,2001 6TH AVE,SEATTLE,WA,98121-2855,47.614394,-122.338394,470267,400369,8011,2,236146.17,29.48,2.59,0
CA6728,3419 ARDEN WAY,SACRAMENTO,CA,95825-2018,38.595816,-121.384089,341333,30000,11567,38.56,235728.3,20.38,9.34,4.34
TX2181,500 S TAYLOR,AMARILLO,TX,79101-2442,35.208525,-101.835629,5782436,264600,15063,5.69,235424.61,15.63,6.34,2.99
WA7598,3020 RUCKER AVE,EVERETT,WA,98201-3900,47.977517,-122.211446,630832,54000,9882,18.3,235229.87,23.8,0.67,0.67
FL3350,11290 OVERSEAS HIGHWAY,MARATHON,FL,33050-3463,24.730018,-81.034595,GSA,13100,5240,40,235009.42,44.85,14.71,9.71
FL3303,724 20TH STREET,VERO BEACH,FL,32960-5442,27.638685,-80.386936,GSA,10120,5809,57.4,234872.7,40.43,7.06,2.05
OH2447,611 VERNON ST,IRONTON,OH,45638-1641,38.5355815,-82.681051,GSA,6500,6500,100,234840,36.13,9.52,9.52
GA2359,BIG A ROAD,TOCCOA,GA,30577-6000,34.54907,-83.27879,GSA,7072,7072,100,234537.66,33.16,5.11,0.11
TN2076,50 N FRONT ST,MEMPHIS,TN,38103-2126,35.146574,-90.053693,810231,395577,10851,2.74,234503.75,21.61,1.18,0
WA7695,505 106TH AVE NE,BELLEVUE,WA,98004-5041,47.614745,-122.198944,600249,44535,13196,29.63,234475.3,17.77,0.44,0
MD1856,6500 SHERIFF ROAD,LANDOVER,MD,20785-4392,38.9099251,-76.8939416,142612,275890,12167,4.41,234406.97,19.27,8.17,8.17
OK1435,200 NE 27TH,MOORE,OK,73160-4104,35.363223,-97.491871,GSA,12260,12260,100,234358.06,19.12,0.5,0
CO2093,561 25 ROAD,GRAND JUNCTION,CO,81505-1303,39.086024,-108.589474,7016927,18923,7862,41.55,234334.35,29.81,1.72,0.72
CA8084,3720 DUDLEY BLVD,MCCLELLAN AFB,CA,95652-2508,38.647012,-121.406886,655856,76000,7754,10.2,234325.88,30.22,1.64,1.64
VA0687,5707 HUNTSMAN ROAD,RICHMOND,VA,23250-2400,37.517789,-77.332944,875730,30000,12967,43.22,234110.35,18.05,2.89,0.96
MI2030,15655 EAST ELEVEN MILE ROAD,ROSEVILLE,MI,48066-2764,42.494504,-82.961069,6703413,9545,9545,100,234000,24.52,0.08,0
CO1953,7770 DRENNAN ROAD,COLORADO SPRINGS,CO,80916-4907,38.797084,-104.702743,7520968,248660,3366,1.35,233836.02,69.47,1.75,0
KY1684,1885 DIXIE HIGHWAY,FORT WRIGHT,KY,41011-2662,39.058057,-84.542869,482549,25000,13598,54.39,233830.52,17.2,4.54,0.67
TX2817,500 S POINT DR,PORT ISABEL,TX,78578-3705,26.065541,-97.212003,GSA,9548,9548,100,233677.42,24.47,9.6,2.43
FL2440,14601 OAK LANE,MIAMI LAKES,FL,33016-1515,25.906551,-80.327785,515129,52439,8993,17.15,233486.21,25.96,7.87,2.87
NY7314,1 AIRPORT WAY,ROCHESTER,NY,14624-3128,43.130227,-77.670502,5916806,20130,8188,40.68,233456.24,28.51,5.36,1.36
VA0399,8201 GREENSBORO DRIVE,MCLEAN,VA,22102-3810,38.922504,-77.227977,135355,360854,9747,2.7,233373.36,23.94,1.46,1.46
IN1729,602 SOUTH MICHIGAN,SOUTH BEND,IN,46601-2412,41.668941,-86.250156,8322108,13752,13752,100,233372.16,16.97,7.25,0
NJ5049,190 ST. CATHERINE BLVD.,TOMS RIVER,NJ,08755-4972,39.980869,-74.25405,682884,7440,7440,100,233186.29,31.34,2.43,0
VA0663,675 PETER JEFFERSON PKY,CHARLOTTESVILLE,VA,22911-8618,38.023212,-78.437365,771256,80641,8230,10.21,232845.72,28.29,4.21,1.41
AL2186,203 SOUTH WALNUT,FLORENCE,AL,35630-5721,34.80082276,-87.67095211,,14206,14206,100,232690.65,16.38,0.3,0
TN2432,633 CHESTNUT ST,CHATTANOOGA,TN,37450-4000,35.04919,-85.311698,1505404,257712,8390,3.26,232477.9,27.71,6.25,0
OR6660,1660 OAK STREET SE,SALEM,OR,97301-6454,44.930217,-123.023109,716615,30000,9733,32.44,232292.44,23.87,1,0
TX2528,6701 CONVAIR RD,EL PASO,TX,79925-1099,31.798313,-106.395501,6129743,64236,4932,7.68,232286.3,47.1,9.42,4.42
MS2255,LOTS 10 & 11 Parklane buisiness center drive,MCCOMB,MS,39648-,,,GSA,9351,9351,100,232272.03,24.84,9.57,4.56
MO1976,1402 N. WOODBINE ST.,ST JOSEPH,MO,64506-3611,39.782413,-94.796772,7259895,7894,7894,100,232225.02,29.42,5.63,2.63
LA1344,825 RYAN ST,LAKE CHARLES,LA,70601-4244,30.228505,-93.217245,5565231,25000,9504,38.02,232168.13,24.43,3.33,0
TX2309,102 OAK PARK DR,CLUTE,TX,77531-3959,29.027331,-95.396492,GSA,12999,10867,83.6,231964.03,21.35,4.75,0
GA2313,104 WEST THIRD STREET,VIDALIA,GA,30474-3300,32.215511,-82.415204,7980383,10133,10133,100,231628.65,22.86,4.82,4.82
FL3356,2700 SOUTH COMMERCE PARKWAY,WESTON,FL,33331-3615,26.084869,-80.369299,378512,78500,6609,8.42,231583.97,35.04,8.63,3.62
WV0274,1103 GEORGE KOSTAS DRIVE,LOGAN,WV,25601-3483,37.848809,-81.999435,7839452,18000,8617,47.87,231530.46,26.87,6.08,0
MO1943,111 CORPORATE OFFICE DRIVE,EARTH CITY,MO,63045-1506,38.758769,-90.454888,60939,147972,9836,6.65,231388.89,23.52,2.75,0
OH2270,1287 TRIMBLE ROAD,MANSFIELD,OH,44907-2665,40.725685,-82.546465,6792074,8087,8087,100,231313.93,28.6,11.45,1.44
IN1485,231 WATERFALL DRIVE,ELKHART,IN,46516-3669,41.68494,-85.969629,6750907,23180,11442,49.36,231198.28,20.21,9.36,0
MS2206,1050 SOUTH HARPER ROAD,CORINTH,MS,38834-6645,34.922219,-88.495475,8190181,8135,8135,100,231184.94,28.42,6.08,1.08
MI2218,3971 SOUTH REASEARCH PARK DRIVE,ANN ARBOR,MI,48104-2281,42.2300385,-83.7319396,460662,20463,9163,44.78,231153.33,25.23,6.52,1.51
KY3045,591 WESTPORT ROAD,ELIZABETHTOWN,KY,42701-2949,37.700353,-85.880311,1489736,12215,12215,100,231054.91,18.92,0.77,0
FL2376,8345 BISCAYNE BOULEVARD,MIAMI,FL,33138-3506,25.851859,-80.18477,389728,13000,10715,82.42,231043.3,21.56,1.56,0.56
KS1492,8600 FARLEY ST,OVERLAND PARK,KS,66212-4676,38.972061,-94.700369,78009,30000,13406,44.69,230882.54,17.22,1.78,0
TX1815,9990 RICHMOND AVE,HOUSTON,TX,77042-4559,29.728858,-95.548664,239959,93921,11729,12.49,230783.81,19.68,4.08,0
MS2184,199 SADDLECREEK DRIVE,TUPELO,MS,38801-4127,34.253336,-88.751926,GSA,14700,14700,100,230472.82,15.68,4.39,0
MA5676,259B NORTH STREET,HYANNIS,MA,02601-3834,41.652796,-70.287121,5622980,12369,6000,48.51,230460,38.41,1.16,0
CA7007,"1052 ""C"" STREET",FRESNO,CA,93706-3213,36.728804,-119.79856,4254796,8870,7680,86.58,230400,30,2.5,0.42
VA0599,1700 EAST PARHAM ROAD,RICHMOND,VA,23228-2202,37.638582,-77.477318,864458,62016,17733,28.59,230303.13,12.99,1.56,0
MD1091,217 GLENN ST,CUMBERLAND,MD,21502-2460,39.653625,-78.75848,GSA,35047,7500,21.4,230269.97,30.7,8.7,3.7
TN2142,2110 STEIN DRIVE,CHATTANOOGA,TN,37421-1691,35.0553,-85.185948,GSA,4853,4853,100,230184.45,47.43,3.04,3.04
NC2267,140 CENTER WEST CT.,CARY,NC,27513-2015,35.819782,-78.804479,7808071,7977,7977,100,230152.24,28.85,0.27,0.27
AR1298,415 GARLAND AVENUE,FORT SMITH,AR,72901-1956,35.385603,-94.428962,8157017,7633,7633,100,230107.02,30.15,12.92,7.92
VA0472,5505 ROBIN HOOD RD.,NORFOLK,VA,23513-2423,36.881242,-76.217384,935459,74390,15438,20.75,229855.8,14.89,9,4
FL2174,7410 SO. U.S. HIGHWAY 1,PORT SAINT LUCIE,FL,34952-1432,27.330102,-80.322942,5053800,29441,10144,34.46,229449.46,22.62,0.33,0
TN2193,959 RIDGEWAY LOOP,MEMPHIS,TN,38120-4043,35.106188,-89.86415,810066,29241,12305,42.08,229108.13,18.62,2.25,0
CO1958,24735 EAST 75TH AVENEUE,DENVER,CO,80249-6216,39.833033,-104.701605,397890,54900,8677,15.81,229041.99,26.4,0.65,0.65
GA2373,301 POINT NORTH PLACE,DALTON,GA,30720-2645,34.793129,-84.975099,8188735,9235,9235,100,228906.92,24.79,7.17,7.17
NJ5020,2111 NEW ROAD,NORTHFIELD,NJ,08225-1512,39.367888,-74.5615,243991,32000,7762,24.26,228715.08,29.47,5.69,0.69
ME4235,1001 WESTBROOK ST,PORTLAND,ME,04102-1938,43.651366,-70.309811,5955284,47455,6651,14.01,228714.13,34.39,4.5,0
KY3070,122 REYNOLDS LANE,HAZARD,KY,41701-1437,37.252342,-83.192363,GSA,11170,11170,100,228660.41,20.47,4,0
OH2166,4375 HOOVER AVENUE,DAYTON,OH,45417-1184,39.761413,-84.257632,7268963,9581,9581,100,228471.55,23.85,5.13,0
TX2651,2921 N. VALDERAS STREET,ANGLETON,TX,77515-2762,29.192958,-95.429177,8190236,10375,10375,100,228378.8,22.01,9.78,4.78
FL3051,6000 AIRPORT CIR,SARASOTA,FL,34243-2105,27.386727,-82.551534,,3806,3806,100,228360,60,3.92,0
PA0863,830 SCHUYLKILL MALL,FRACKVILLE,PA,17931-2502,40.769502,-76.222465,757077,726674,7000,0.96,228326.66,32.62,8.96,3.96
CA6695,4510 EXECUTIVE DR,SAN DIEGO,CA,92121-3021,32.876693,-117.208914,313369,126043,5180,4.11,228209.02,44.06,6,6
TN2241,1800 OLD TROY ROAD,UNION CITY,TN,38261-5519,36.416282,-89.080657,GSA,6525,6525,100,228102.54,34.96,6.5,1.5
VA0775,1440 CENTRAL PARK BOULEVARD,FREDERICKSBURG,VA,22401-4931,38.302296,-77.512595,1511895,42174,9446,22.4,228075.97,24.15,13.24,8.23
NC2644,1865 WEST CITY DRIVE,ELIZABETH CITY,NC,27909-9633,36.289079,-76.262191,8190448,7914,7914,100,227775.55,28.78,7.67,2.67
CA6630,8345 FIRESTONE BLVD,DOWNEY,CA,90241-3840,33.939469,-118.131792,249314,30000,10460,34.87,227598.6,21.76,0.5,0
MT5568,585 SHEPARD WAY,HELENA,MT,59601-9715,46.589762,-111.976047,GSA,13593,13593,100,227557.55,16.74,8.75,3.74
NE1370,9239 W CENTER ROAD,OMAHA,NE,68124-1900,41.233574,-96.057481,1373925,50949,15933,31.27,227437.95,14.27,3.67,0.67
NH6119,323-331 COMMERCE WAY,SUNCOOK,NH,03275-3718,43.188369,-71.479845,1429733,20000,12560,62.8,227271.33,18.09,6.25,1.25
VA0777,300 ARBORETUM PLACE,RICHMOND,VA,23236-3475,37.494257,-77.56485,865921,212698,9736,4.58,227100.28,23.33,7.75,2.75
NC2333,1 COPLEY PARKWAY,MORRISVILLE,NC,27560-9693,35.86303,-78.821351,67516,131645,11283,8.57,227093.52,20.13,0.5,0.5
ND1253,3425 MIRIAM AVE,BISMARCK,ND,58501-7907,46.8288835,-100.7358863,GSA,21372,21372,100,226957.1,10.62,2.3,0
TX2214,10711 BURNET RD,AUSTIN,TX,78758-4457,30.391448,-97.721688,591236,48560,10310,21.23,226820,22,0.08,0
MI2036,2585 BARCLAY STREET,MUSKEGON,MI,49441-3295,43.205631,-86.270761,1118099,16346,9611,58.8,226648.69,23.58,0.33,0
CO1915,5400 11TH STREET,GREELEY,CO,80634-4623,40.419935,-104.770668,700596,26458,10510,39.72,226583.88,21.56,9.76,0
NY7519,3901 GENESEE ST,BUFFALO,NY,14225-1944,42.9294896,-78.741467,GSA,65905,10156,15.41,226540.66,22.31,9.58,4.58
NM1525,2920 YALE BLVD SE,ALBUQUERQUE,NM,87106-4231,35.050445,-106.621561,GSA,1050522,12081,1.15,226518.75,18.75,9.42,4.42
AK3258,2760 SHERWOOD LN,JUNEAU,AK,99801-8545,58.37080201,-134.6182673,8177872,20109,7926,39.42,226041.69,28.52,3.06,1.06
CA7239,2345 S 2ND ST,EL CENTRO,CA,92243-9647,32.771987,-115.545987,6124472,15310,10189,66.55,226027.99,22.18,0.5,0.34
VA1412,2461 EISENHOWER AVE,ALEXANDRIA,VA,22331-3013,38.80136,-77.071668,138235,336190,9200,2.74,225880.8,24.55,5.04,5.04
AK3282,2387 AIRPORT BEACH ROAD,UNALASKA,AK,99685-9800,53.8945078,-166.539649,,7190,6811,94.73,225715.39,33.14,7,2
TN2273,2600 THOUSAND OAKS BLVD,MEMPHIS,TN,38118-2462,35.078101,-89.902432,810331,126582,9067,7.16,225565.29,24.88,9.08,4.08
FL3266,310 CANAVERAL GROVES,COCOA,FL,32926-5963,28.432268,-80.761744,7530098,6097,6097,100,225502.85,36.99,7.92,7.92
AR1234,2153 E. JOYCE BLVD.,FAYETTEVILLE,AR,72703-4514,36.120068,-94.132182,6024739,22873,12602,55.1,225473.76,17.89,4.73,0
MD0477,119 NAYLOR MILL RD,SALISBURY,MD,21801-1193,38.409976,-75.568232,1435600,64447,12535,19.45,225339.54,17.98,4.72,0
OH2448,3715 TOWNE BLVD.,MIDDLETOWN,OH,45044-5500,39.490286,-84.330003,GSA,8704,8704,100,225040,25.85,9.64,9.64
WA7433,1104 N WESTERN AVE,WENATCHEE,WA,98801-1230,47.437978,-120.346255,7991394,19567,19567,100,225000,11.5,8.94,8.94
IL2220,333 SALEM PL,FAIRVIEW HEIGHTS,IL,62208-1341,38.601915,-89.983323,496661,30942,10675,34.5,224857.58,21.06,4.88,2.17
DE0027,920 N KING ST,WILMINGTON,DE,19801-3361,39.744484,-75.547407,223842,203328,6127,3.01,224769.85,36.69,5.1,2.6
MI2024,220 W. 2ND STREET,FLINT,MI,48502-1203,43.01447863,-83.69200061,6882962,6100,6100,100,224767.75,36.85,6.92,0
WI1768,4949 KIRSCHLING CT,STEVENS POINT,WI,54481-7044,44.514619,-89.528084,1186108,11736,11736,100,224765.28,19.15,1.5,0.5
AL2083,5021 BRADFORD DR NW,HUNTSVILLE,AL,35805-1942,34.727693,-86.664713,GSA,50092,15729,31.4,224692.24,14.29,0.54,0
OR6459,6135 NE 80TH AVE,PORTLAND,OR,97218-4033,45.567178,-122.580479,717832,16828,9068,53.89,224676.61,24.78,7.25,2.25
MD1835,7833 WALKER DRIVE,GREENBELT,MD,20770-3211,38.997119,-76.895112,142280,117688,9459,8.04,224299.52,23.71,1.25,1.25
CA0292,"AIR MAIL FACILITY, RD 6",SAN FRANCISCO,CA,94128-9991,37.6239079,-122.3815924,GSA,10422,10422,100,224223.09,21.51,2.08,0
PA0533,101 LARRY HOLMES DRIVE,EASTON,PA,18042-7727,40.690161,-75.205498,299469,44000,10191,23.16,224202,22,0.67,0
FL2214,104 N. MAIN ST,GAINESVILLE,FL,32601-5320,29.653017,-82.325043,1417340,87133,9140,10.49,223607.91,24.46,4.27,0.29
FL2374,97 OAK AVENUE,PANAMA CITY,FL,32401-2735,30.154815,-85.661955,5394852,11781,11781,100,223490.17,18.97,2.25,0.25
CO2061,1230 PARK ST,CASTLE ROCK,CO,80109-1588,39.381822,-104.866387,5376414,10800,10800,100,223449.19,20.69,7.86,7.86
VA0401,11212 WAPLES MILL ROAD,FAIRFAX,VA,22030-7404,38.858583,-77.335157,136709,35677,7997,22.42,223128.6,27.9,0.08,0.08
CA6453,21660 COPLEY DR,DIAMOND BAR,CA,91765-4173,33.998056,-117.834661,247620,50131,6664,13.29,223110.72,33.48,3.58,0.58
GA2019,901 FRONT STREET,COLUMBUS,GA,31901-2722,32.462907,-84.994789,GSA,105444,14973,14.2,223079.23,14.9,0.49,0
SD1398,1720 4TH ST NE,WATERTOWN,SD,57201-8609,44.9233937,-97.106759,GSA,7869,7869,100,223047,28.35,14.47,9.46
OR6639,194 BEVERLY DR,OREGON CITY,OR,97045-3725,45.338098,-122.594083,1186306,7600,7207,94.83,223013.5,30.94,4.89,0
IL2580,1320 W. COMMERCE DR.,PEORIA,IL,61615-1462,40.800324,-89.612328,7566133,12000,7614,63.45,222854.27,29.27,7.84,2.84
NY6444,615 ERIE BLVD WEST,SYRACUSE,NY,13204-2410,43.049291,-76.163673,GSA,69663,16928,24.3,222852.77,13.16,1.27,0
NY7487,1222 ARSENAL STREET,WATERTOWN,NY,13601-2230,43.976595,-75.942823,6467244,13353,7420,55.57,222615.09,30,0,0
WA7765,18905 33RD AVE W,LYNNWOOD,WA,98036-4715,47.827019,-122.277734,118244,23200,6960,30,222580.8,31.98,9.62,4.61
GA2441,3154 PERIMETER PKY,AUGUSTA,GA,30909-4583,33.4917782,-82.086684,GSA,20000,9400,47,222310,23.65,9.78,4.78
WI1592,6201 E ACE INDUSTR. DR.,CUDAHY,WI,53110-2869,42.959738,-87.861471,1262305,39507,24426,61.83,222223.8,9.1,1.71,0.38
OH2340,10 N. LUDLOW STREET,DAYTON,OH,45402-1854,39.75938,-84.193606,62951,160000,15042,9.4,221849.72,14.75,5.36,5.36
CA7041,100 N BARRANCA ST,WEST COVINA,CA,91791-1637,34.072648,-117.88116,42157,215189,9297,4.32,221689.71,23.85,1.08,0
ND1360,1665 43RD STREET,FARGO,ND,58103-3319,46.858277,-96.856608,7955962,15000,8714,58.09,221655.5,25.44,7.76,2.76
OH2457,222 S. Main Street,AKRON,OH,44308-1500,,,GSA,122136,8304,6.8,221633.76,26.69,14.38,9.38
WI1738,440 SECURITY BOULEVARD,GREEN BAY,WI,54313-9705,44.557457,-88.101857,6413360,8436,8436,100,221627.46,26.27,6.16,1.16
IL2437,1901 BUTTERFIELD RD,DOWNERS GROVE,IL,60515-7915,41.83268,-88.031486,205154,278285,9678,3.48,221626.2,22.9,9.34,6.33
CA6547,9988 HIBERT STREET,SAN DIEGO,CA,92131-2480,32.913844,-117.110253,313638,36120,8466,23.44,221470.56,26.16,2.67,0.44
CA7257,7961 UNIVERSITY AVE.,LA MESA,CA,91941-5518,32.764392,-117.026819,349174,9500,9500,100,221344.82,23.3,3.01,0
